328798745,-1172318373,139960,-40211,-40876,-43120
328798726,-1172318389,135720,-40548,-40484,-44529
328798786,-1172318242,135090,-40580,-41721,-44864
328798928,-1172317671,130700,-39427,-40968,-44701
328799002,-1172317519,128620,-40298,-40732,-44491
328798985,-1172317500,127850,-39067,-40321,-43963
328798983,-1172317514,126800,-41393,-42048,-45903
328798972,-1172317531,123570,-41406,-41845,-45807
328798974,-1172317532,121830,-40065,-40955,-44839
328798963,-1172317552,120100,-40846,-41315,-45006
328798965,-1172317580,118190,-40347,-40838,-44363
328798967,-1172317622,115680,-40378,-42077,-44563
328798974,-1172317636,114020,-40282,-40311,-44155
328799003,-1172317622,112560,-40617,-41556,-44875
328798931,-1172317935,110670,-40377,-40410,-44223
328798992,-1172318055,107760,-40641,-41847,-44210
328799001,-1172318054,106530,-38550,-38875,-42963
328799002,-1172318062,106270,-38819,-38431,-43220
328798992,-1172318078,106020,-37710,-40069,-42940
328798979,-1172318487,106310,-39921,-40829,-43612
328798887,-1172318732,105630,-38930,-39795,-42778
328798886,-1172318725,104890,-37912,-39620,-44139
328798883,-1172318732,104400,-38916,-39502,-43535
328798874,-1172318741,103830,-38902,-39664,-43440
328798866,-1172318738,103350,-38703,-39336,-43241
328798859,-1172318734,103100,-39244,-39409,-43443
328798876,-1172318728,103280,-42402,-43330,-47443
